Metric Number of queries...,Metric - Click Depth,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,
76.0,0.0,1.0,0.046052631578947366,0.1443858072212663,0.0015704333221910887,156.05749486652977,0.487,
76.0,0.02631578947368421,1.0,0.03234750462107209,0.23882490634854966,2.9144534418547048E-5,130.58419243986256,0.582,
76.0,0.07894736842105263,1.0,0.03234750462107209,0.2348862327029508,8.754668967773295E-5,105.11756569847857,0.723,
64.0,0.0,1.0,0.013407304669440592,0.1392322257378656,0.0011191020402107005,135.0210970464135,0.474,
64.0,0.09375,1.0,0.009647371922821025,0.11812134942113355,0.018989801968319925,147.1264367816092,0.435,
64.0,0.0,1.0,0.02141802067946824,0.12037345123466468,0.003978729720639346,105.26315789473685,0.608,
64.0,0.15625,1.0,0.019269102990033222,0.14281721423679636,0.0020108250005610243,137.3390557939914,0.466,
76.0,0.02631578947368421,1.0,0.03234750462107209,0.16195242824053782,0.045400231750531886,115.15151515151514,0.66,
76.0,0.0,1.0,0.03391472868217054,0.1474276758584587,6.295631148060627E-4,143.66729678638941,0.529,
76.0,0.07894736842105263,1.0,0.03234750462107209,0.22777931271059038,0.0,150.79365079365078,0.504,



71.2,0.046052631578947366,1.0,0.027309917900716935,0.16758006037128137,0.007381537814135632,132.61214632531772,0.5468,
